hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H02,"H02|W=180;U=15|XT60",XT60,23133,L10,22291,21,-0.042917515344983746,-0.027158613455871335,0.21412229150778342,-0.046974095994548215,-0.03895240307195325,-0.04352259746668574,-0.04274964127761187,0.003454308913911444
H02,"H02|W=180;U=15|XT300",XT300,23133,KILL,22870,21,-0.09178842445590918,-0.0456451221332272,0.1729339746392654,-0.09931680158672128,-0.08449145727035565,-0.09306727631952919,-0.09178907875029961,0.01464801049409707
H02,"H02|W=180;U=15|XT300",XT300,23133,PRIMARY,22788,21,-0.08283737905122376,-0.03681132390637394,0.1751360365104441,-0.09032957489353406,-0.07587832789117073,-0.08410921584269501,-0.08299994286030597,0.014437423205195718
H02,"H02|W=180;U=15|XT300",XT300,23133,NOINS,22788,21,-0.08648236419602717,-0.042593616702462415,0.17320519571704407,-0.09393454120817749,-0.07958416338201668,-0.08775468042691262,-0.0866451255787962,0.014349657714586624
H02,"H02|W=180;U=15|XT300",XT300,23133,L10,22291,21,-0.08128184114473859,-0.03547986614055242,0.16800502444932933,-0.08791419389500092,-0.07488582059899378,-0.08233433989225634,-0.08169050365990192,0.013682652191467408
H02,"H02|W=180;U=15|XT1800",XT1800,23133,KILL,22870,21,-0.15358214230579778,-0.08780559176160391,0.09313511149978138,-0.16708097837907784,-0.1401207576153868,-0.15516051993344934,-0.1535799416319251,0.03821600349803236
H02,"H02|W=180;U=15|XT1800",XT1800,23133,PRIMARY,22788,21,-0.143548345512157,-0.07576191703226266,0.09447955064068808,-0.15662350767800962,-0.13015809515233456,-0.14518064355569593,-0.14409895444371038,0.037783043707214324
H02,"H02|W=180;U=15|XT1800",XT1800,23133,NOINS,22788,21,-0.1468584430436063,-0.08086789870635833,0.0931630682815517,-0.15986563714188365,-0.1335015695918052,-0.14849117690441757,-0.14740583417339911,0.037739160961909775
H02,"H02|W=180;U=15|XT1800",XT1800,23133,L10,22291,21,-0.13899770997686253,-0.06785780930023476,0.09106814409402898,-0.1506504593442652,-0.1270838864480602,-0.14046188437362542,-0.1401527102265808,0.03539545107891077
H02,"H02|W=180;U=15|XB",XB,23133,KILL,22870,21,-0.05807528115844879,-0.059312526739963185,0.16751202448622649,-0.06354845381412405,-0.052264650108802,-0.05835778655874279,-0.05807345974551078,0.008132925229558373
H02,"H02|W=180;U=15|XB",XB,23133,PRIMARY,22788,21,-0.06827453488304466,-0.04801841689392883,0.17166929963138494,-0.07578608761661708,-0.06095963249209595,-0.06878082198842991,-0.06836013338728124,0.008249956117254695
H02,"H02|W=180;U=15|XB",XB,23133,NOINS,22788,21,-0.07199389405700758,-0.054128269843421596,0.16978234158328945,-0.0793218115188579,-0.06482008461697997,-0.07249890168470896,-0.07207683562641257,0.008206073371950149
H02,"H02|W=180;U=15|XB",XB,23133,L10,22291,21,-0.07124427007341949,-0.045272374007292344,0.1635637701314432,-0.07753205012566075,-0.06517347497871041,-0.07189495985532032,-0.07161367444983337,0.00865820286214167
H02,"H02|W=180;U=15|XR",XR,23133,KILL,22870,21,-0.04593252396142087,-0.060818140537467216,0.14311324879755138,-0.053545988661252354,-0.0376504416089696,-0.04732989305324742,-0.04593395041995616,0.021381722780935725
H02,"H02|W=180;U=15|XR",XR,23133,PRIMARY,22788,21,-0.09386434536390917,-0.061250302182708154,0.12037037037037036,-0.10305151326595884,-0.08453985068228846,-0.09535753174325719,-0.09386768222254178,0.021151483236791294
